<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CTG,20170322,17.7734,17.9635,17.4407,17.4408,2382120
CTG,20170321,17.5358,17.7734,17.4882,17.5833,2470110
CTG,20170320,17.2982,17.4883,17.1081,17.3932,1679060
CTG,20170317,17.1081,17.3932,17.1081,17.1556,696990
CTG,20170316,17.013,17.2031,16.918,16.9655,886330
CTG,20170315,17.0131,17.2032,16.8705,16.918,1048050
CTG,20170314,17.0131,17.2032,16.918,17.0131,1001120
CTG,20170313,17.2982,17.3457,17.0606,17.0606,1059150
CTG,20170310,17.4883,17.7259,17.2982,17.2982,969700
CTG,20170309,17.4408,17.7735,17.4408,17.4883,1281380
CTG,20170308,17.3457,17.9159,17.1556,17.4408,1972150
CTG,20170307,17.3457,17.5833,17.3457,17.3932,844680
CTG,20170306,17.5358,17.7734,17.3932,17.4883,1718240
CTG,20170303,17.0606,17.4408,16.823,17.3932,1754040
CTG,20170302,17.2982,17.2982,17.0131,17.0606,816410
CTG,20170301,17.2982,17.3457,16.8705,17.1081,1182670
CTG,20170228,17.3932,17.5833,17.2031,17.3457,2586140
CTG,20170227,17.013,17.5358,16.9655,17.3932,1522540
CTG,20170224,16.9181,17.4883,16.823,17.1556,1407370
CTG,20170223,17.2031,17.2507,16.6329,17.0131,2473690
CTG,20170222,17.4882,17.4882,16.9655,17.1081,3853650
CTG,20170221,17.7734,17.916,17.3932,17.3932,2330830
CTG,20170220,17.8209,18.0585,17.4883,17.5833,2694060
CTG,20170217,18.2487,18.3437,17.916,17.9635,2778190
CTG,20170216,18.4387,18.6764,18.0586,18.3437,5808080
CTG,20170215,17.7259,18.4387,17.7259,18.3437,4804180
CTG,20170214,17.5358,17.8684,17.5358,17.7259,2680990
CTG,20170213,17.6308,17.7258,17.4407,17.5833,1937220
CTG,20170210,17.1556,17.7734,17.1081,17.6308,3566190
CTG,20170209,17.0605,17.2982,17.0605,17.1556,1592330
CTG,20170208,17.2507,17.3457,16.918,16.9655,2904010
CTG,20170207,17.2982,17.7259,17.2031,17.2507,3218470
CTG,20170206,17.4408,17.6308,17.2507,17.3932,1384570
CTG,20170203,17.7734,17.9635,17.2982,17.5358,2070490
CTG,20170202,17.6783,18.0585,17.4882,17.7734,1314520
CTG,20170125,17.5833,17.8209,17.2031,17.6308,2442780
CTG,20170124,17.6783,17.8209,17.2031,17.6308,2109910
CTG,20170123,17.0131,18.1061,16.9656,17.3932,2995710
CTG,20170120,16.7754,17.2981,16.7279,17.0131,2339900
CTG,20170119,16.2527,16.7755,16.2527,16.7754,1088370
CTG,20170118,16.7754,17.3457,16.3477,16.4428,1624550
CTG,20170117,15.9675,16.7754,15.92,16.7754,3003990
CTG,20170116,16.1572,16.1572,15.682,15.6824,815390
CTG,20170113,16.0506,16.0506,15.7314,15.777,623490
CTG,20170112,16.1418,16.233,15.8682,16.0506,739950
CTG,20170111,15.4122,16.1418,15.4122,16.1418,2008310
CTG,20170110,15.5034,15.5034,15.321,15.4122,693510
CTG,20170109,15.5034,15.777,15.321,15.5946,1335810
CTG,20170106,14.6826,15.5946,14.6826,15.1842,1151370
CTG,20170105,14.865,15.0474,14.5914,15.0474,892010
CTG,20170104,14.9562,15.1386,14.6826,14.9562,1006570
CTG,20170103,13.9075,14.6827,13.9075,14.6826,1008370
CTG,20161230,13.6795,13.9075,13.5883,13.7251,430500
CTG,20161229,13.7707,13.9531,13.6795,13.6795,882870
CTG,20161228,13.8619,13.9075,13.7707,13.8619,538430
CTG,20161227,13.8163,13.9075,13.7707,13.8619,263280
CTG,20161226,13.8619,13.9531,13.7251,13.8163,326280
CTG,20161223,13.7251,13.8619,13.6339,13.8619,481330
CTG,20161222,13.9075,13.9531,13.6795,13.7707,517150
CTG,20161221,13.9075,14.0443,13.7707,13.8619,702700
CTG,20161220,13.9531,14.2267,13.9075,13.9075,555100
CTG,20161219,13.8619,14.2267,13.8163,13.9531,882180
CTG,20161216,13.6339,13.6795,13.5427,13.6795,465860
CTG,20161215,13.4971,14.0443,13.4059,13.5427,616860
CTG,20161214,13.3147,13.5427,13.3147,13.3603,453960
CTG,20161213,13.7707,13.7707,13.2691,13.3147,675590
CTG,20161212,14.1355,14.1355,13.4971,13.6795,894390
CTG,20161209,14.1811,14.3179,14.0443,14.0443,581760
CTG,20161208,14.2723,14.5915,14.1811,14.1811,562000
CTG,20161207,14.3178,14.409,14.2266,14.2723,607910
CTG,20161206,14.637,14.7738,14.3178,14.3178,692140
CTG,20161205,14.865,14.865,14.637,14.637,687550
CTG,20161202,14.8194,14.9106,14.7282,14.7282,589230
CTG,20161201,14.6826,14.8194,14.6826,14.7738,441510
CTG,20161130,14.637,14.7738,14.5914,14.6826,379010
CTG,20161129,14.637,14.8194,14.637,14.637,452340
CTG,20161128,14.865,14.865,14.637,14.6826,334410
CTG,20161125,15.0474,15.0474,14.7738,14.8194,728280
CTG,20161124,15.1842,15.2754,14.865,14.9562,322620
CTG,20161123,15.2298,15.321,15.1842,15.2754,412630
CTG,20161122,15.0474,15.2754,15.0018,15.2754,532560
CTG,20161121,14.8194,15.093,14.8194,15.093,591420
CTG,20161118,14.8194,14.9106,14.7282,14.8194,284580
CTG,20161117,14.9562,15.0474,14.8194,14.8194,569800
CTG,20161116,15.1386,15.1386,14.9562,14.9562,167420
CTG,20161115,15.0474,15.093,15.0018,15.0474,225170
CTG,20161114,15.093,15.093,15.0018,15.0474,303890
CTG,20161111,15.1386,15.1842,15.0018,15.0018,316350
CTG,20161110,15.0018,15.1842,15.0018,15.1386,669330
CTG,20161109,15.1386,15.2298,14.9106,15.0018,482840
CTG,20161108,15.2298,15.321,15.093,15.093,302960
CTG,20161107,15.1386,15.2754,15.1386,15.2298,230230
CTG,20161104,15.2298,15.2298,15.1386,15.1386,155210
CTG,20161103,15.1842,15.2298,15.1386,15.1386,346580
CTG,20161102,15.2754,15.3666,15.1842,15.2298,401560
CTG,20161101,15.3666,15.4578,15.1386,15.2754,279000
CTG,20161031,15.6858,15.6858,15.321,15.3666,248850
CTG,20161028,15.4122,15.5034,15.1386,15.5034,997730
CTG,20161027,15.4578,15.5034,15.1386,15.1386,818220
CTG,20161026,15.6858,15.6858,15.4578,15.4578,378010
CTG,20161025,15.8682,15.8682,15.5946,15.6858,632230
CTG,20161024,15.6402,15.9138,15.6402,15.777,825040
CTG,20161021,15.8226,15.8226,15.6402,15.6402,239110
CTG,20161020,15.8682,15.9138,15.7314,15.777,301740
CTG,20161019,15.5946,15.9594,15.549,15.8226,1147690
CTG,20161018,15.549,15.5946,15.4578,15.549,323370
CTG,20161017,15.549,15.6402,15.5034,15.549,371450
CTG,20161014,15.6858,15.777,15.549,15.549,640770
CTG,20161013,15.7314,15.7314,15.549,15.6402,324480
CTG,20161012,15.7314,15.8682,15.5946,15.6402,305200
CTG,20161011,15.5946,15.6858,15.5034,15.6402,477450
CTG,20161010,15.777,15.9594,15.5946,15.5946,556460
CTG,20161007,16.0506,16.0506,15.777,15.777,294700
CTG,20161006,16.1418,16.233,16.005,16.0506,846960
CTG,20161005,15.777,16.2786,15.6858,16.0506,1470580
CTG,20161004,15.4578,15.8682,15.4122,15.777,701650
CTG,20161003,15.5034,15.6858,15.4578,15.4578,157380
CTG,20160930,15.5946,15.6402,15.4578,15.4578,431170
CTG,20160929,15.9594,15.9594,15.6402,15.6402,104510
CTG,20160928,15.6858,16.0506,15.6402,15.8682,841370
CTG,20160927,15.3666,15.6858,15.3666,15.6402,756460
CTG,20160926,15.4122,15.5034,15.4122,15.4122,220590
CTG,20160923,15.5034,15.5946,15.4122,15.4122,192340
CTG,20160922,15.5946,15.5946,15.5034,15.5034,328080
CTG,20160921,15.549,15.5946,15.5034,15.5034,133310
CTG,20160920,15.5034,15.5946,15.5034,15.549,254580
CTG,20160919,15.4578,15.6402,15.4578,15.5946,510530
CTG,20160916,15.5034,15.5034,15.4122,15.4578,156080
CTG,20160915,15.321,15.5946,15.321,15.4578,304460
CTG,20160914,15.6402,15.6402,15.2298,15.321,420360
CTG,20160913,15.777,15.777,15.5946,15.6402,166890
CTG,20160912,15.8682,15.8682,15.5946,15.7314,396750
CTG,20160909,15.777,15.8682,15.6858,15.8682,376440
CTG,20160908,15.777,15.777,15.5946,15.6858,321780
CTG,20160907,15.5034,15.777,15.5034,15.6858,183110
CTG,20160906,15.777,15.777,15.5034,15.5946,395250
CTG,20160905,15.777,15.777,15.5946,15.5946,314130
CTG,20160901,15.6858,15.8682,15.5946,15.6858,376080
CTG,20160831,15.8682,15.9594,15.777,15.8682,594530
CTG,20160830,15.777,15.9594,15.777,15.8682,667880
CTG,20160829,15.8682,15.9594,15.777,15.777,214620
CTG,20160826,15.6858,16.0506,15.6858,15.8682,622140
CTG,20160825,15.777,15.777,15.5946,15.5946,173020
CTG,20160824,15.5946,15.777,15.5946,15.777,427180
CTG,20160823,15.6858,15.6858,15.5946,15.5946,242430
CTG,20160822,15.6858,15.6858,15.5946,15.6858,495890
CTG,20160819,15.6858,15.777,15.5034,15.5946,602920
CTG,20160818,15.777,15.8682,15.6858,15.777,269640
CTG,20160817,15.8682,15.8682,15.6858,15.777,263760
CTG,20160816,15.777,15.9594,15.777,15.777,317960
CTG,20160815,15.9594,15.9594,15.6858,15.9594,278040
CTG,20160812,16.0506,16.1418,15.6858,15.9594,399590
CTG,20160811,15.8682,16.233,15.777,16.0506,670610
CTG,20160810,15.5034,15.8682,15.5034,15.8682,452530
CTG,20160809,15.5946,15.777,15.4122,15.4122,434340
CTG,20160808,15.6858,15.6858,15.5034,15.6858,225100
CTG,20160805,15.5034,15.8682,15.5034,15.5946,550230
CTG,20160804,15.5034,15.9594,15.5034,15.777,610370
CTG,20160803,15.5946,15.777,15.5034,15.5946,449320
CTG,20160802,16.1418,16.1418,15.5946,15.6858,1344970
CTG,20160801,16.233,16.233,16.0506,16.1418,609860
CTG,20160729,16.3242,16.4154,16.1418,16.233,435450
CTG,20160728,16.4154,16.4154,16.233,16.233,292440
CTG,20160727,16.0506,16.5978,15.9594,16.4154,1495190
CTG,20160726,15.9594,16.0506,15.8682,16.0506,271180
CTG,20160725,16.3242,16.3242,15.9594,15.9594,463360
CTG,20160722,16.233,16.233,15.8682,16.233,1243490
CTG,20160721,16.1418,16.4154,16.0506,16.233,785170
CTG,20160720,16.5978,16.5978,16.1418,16.233,1757120
CTG,20160719,17.3273,17.3273,16.2329,16.5978,1644370
CTG,20160718,16.8713,17.3273,16.6889,17.0537,1084130
CTG,20160715,17.3273,17.6009,17.0537,17.0537,1463810
CTG,20160714,17.6009,18.4217,16.9625,16.9625,5103110
CTG,20160713,16.233,17.2362,16.1418,17.2361,5165290
CTG,20160712,15.9594,16.1418,15.8682,16.1418,2088690
CTG,20160711,15.6858,16.233,15.6858,15.8682,1215260
CTG,20160708,15.8682,15.8682,15.5946,15.6858,260560
CTG,20160707,15.6858,15.777,15.5034,15.777,337740
CTG,20160706,15.8682,15.8682,15.5946,15.6858,299650
CTG,20160705,15.5946,16.0506,15.5946,15.8682,797750
CTG,20160704,15.5946,15.6858,15.4122,15.5946,470750
CTG,20160701,15.321,15.5946,15.321,15.5034,269590
CTG,20160630,15.5034,15.5946,15.321,15.321,398700
CTG,20160629,15.2298,15.5946,15.2298,15.4122,513620
CTG,20160628,15.1386,15.2298,15.0474,15.0474,182440
CTG,20160627,14.9562,15.2298,14.9562,15.2298,334300
CTG,20160624,15.5946,15.6858,14.5914,15.2298,1093710
CTG,20160623,15.5034,15.6858,15.4122,15.6858,479790
CTG,20160622,15.6858,15.6858,15.321,15.4122,513610
CTG,20160621,15.5946,15.6858,15.4122,15.5034,281970
CTG,20160620,15.5034,15.5946,15.4122,15.5034,429240
CTG,20160617,15.777,15.777,15.4122,15.4122,632060
CTG,20160616,15.777,15.9594,15.6858,15.6858,428580
CTG,20160615,15.8682,15.9594,15.6858,15.8682,497500
CTG,20160614,15.9594,15.9594,15.6858,15.8682,976830
CTG,20160613,16.233,16.233,15.9594,16.0506,584150
CTG,20160610,16.0506,16.3242,16.0506,16.233,1063080
CTG,20160609,16.0506,16.3242,15.9594,16.233,890310
CTG,20160608,15.9594,16.1418,15.9594,16.0506,493650
CTG,20160607,16.0506,16.0506,15.8682,15.8682,537710
CTG,20160606,16.1418,16.233,15.8682,16.0506,802850
CTG,20160603,16.3242,16.3242,16.1418,16.233,580270
CTG,20160602,16.233,16.3242,16.1418,16.3242,386210
CTG,20160601,16.233,16.4154,16.1418,16.233,1117640
CTG,20160531,16.0506,16.3242,16.0506,16.233,1127520
CTG,20160530,15.8682,16.1418,15.777,16.0506,614250
CTG,20160527,15.5946,15.9594,15.5034,15.8682,928400
CTG,20160526,15.6858,15.777,15.4122,15.5946,1542950
CTG,20160525,15.777,15.9594,15.777,15.777,1056090
CTG,20160524,15.5946,15.777,15.5034,15.777,1147300
CTG,20160523,16.0506,16.0506,15.5946,15.5946,938770
CTG,20160520,16.1418,16.233,15.8682,15.9594,774760
CTG,20160519,16.3242,16.4154,16.1418,16.1418,555110
CTG,20160518,16.3242,16.5978,16.233,16.3242,1645270
CTG,20160517,16.1418,16.4154,16.0506,16.4154,1847570
