<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MSN,20141117,52.4822,53.1107,52.4822,52.7965,35080
MSN,20141114,51.8537,52.4822,51.8537,52.4822,88410
MSN,20141113,52.4822,52.4822,51.8536,51.8537,78560
MSN,20141112,52.4822,53.1107,52.1679,52.1679,78550
MSN,20141111,53.425,53.7393,52.4822,52.4822,90020
MSN,20141110,53.425,55.3106,53.425,53.7393,521440
MSN,20141107,51.8537,53.7393,51.2251,53.7393,384920
MSN,20141106,50.9109,51.5394,50.9109,51.5394,141040
MSN,20141105,50.9108,51.5394,50.9108,50.9109,309850
MSN,20141104,50.9108,51.5394,50.2823,50.2823,35710
MSN,20141103,51.5394,51.5394,51.2251,51.2251,95290
MSN,20141031,49.9681,51.2251,49.6538,51.2251,292410
MSN,20141030,49.9681,50.2823,49.6538,49.6538,127350
MSN,20141029,49.0252,49.968,49.0252,49.6538,103270
MSN,20141028,49.0252,49.6538,49.0252,49.3395,111910
MSN,20141027,50.2823,50.2823,49.3395,49.3395,145680
MSN,20141024,49.6538,50.2823,49.6538,50.2823,249330
MSN,20141023,50.2823,50.2823,49.6538,50.2823,207050
MSN,20141022,50.2823,50.5966,49.968,50.2823,304340
MSN,20141021,49.9681,50.5966,49.6538,50.2823,613020
MSN,20141020,48.711,50.2823,47.7682,49.9681,300730
MSN,20141017,49.3395,49.6538,46.5112,49.3395,586840
MSN,20141016,50.2824,50.2824,49.3396,49.6538,334340
MSN,20141015,50.2824,50.9109,49.9681,50.9109,188930
MSN,20141014,50.9109,50.9109,50.2824,50.9109,160960
MSN,20141013,51.2251,51.5394,50.9108,50.9109,73360
MSN,20141010,51.5394,51.8537,51.2251,51.2251,144170
MSN,20141009,51.5394,51.8537,51.2251,51.5394,28940
MSN,20141008,51.5394,51.8537,51.2251,51.5394,83660
MSN,20141007,51.5394,51.8537,51.2252,51.5394,42820
MSN,20141006,51.5394,51.8537,51.2251,51.8537,100130
MSN,20141003,51.5394,51.8537,51.2251,51.5394,93820
MSN,20141002,52.1679,52.1679,51.5394,51.5394,92420
MSN,20141001,52.1679,52.7965,51.8537,52.1679,179570
MSN,20140930,51.5394,51.8536,51.2251,51.5394,78700
MSN,20140929,51.8537,52.168,51.2252,51.2251,52180
MSN,20140926,52.7965,52.7965,51.8537,51.8537,51470
MSN,20140925,52.1679,52.4822,51.2251,52.4822,151010
MSN,20140924,51.8537,52.4822,51.8537,52.1679,283660
MSN,20140923,52.168,52.4822,51.8537,51.8537,84720
MSN,20140922,52.4822,52.4822,51.8537,51.8537,67670
MSN,20140919,52.7964,52.7964,52.1679,52.7965,1451540
MSN,20140918,51.8537,53.425,51.8537,52.1679,191230
MSN,20140917,52.4822,52.4822,51.8536,51.8537,164070
MSN,20140916,52.4822,52.7965,52.1679,52.1679,88800
MSN,20140915,52.4822,53.1107,52.1679,52.4822,368760
MSN,20140912,52.1679,52.4822,51.8536,52.1679,201680
MSN,20140911,52.1679,52.1679,51.8536,52.1679,123790
MSN,20140910,52.4822,52.4822,51.5394,52.1679,203810
MSN,20140909,52.4822,52.7965,52.168,52.4822,160630
MSN,20140908,53.1108,53.1108,52.4822,52.7965,178170
MSN,20140905,52.7965,53.1107,51.8537,52.7965,371700
MSN,20140904,53.425,53.7393,53.1107,53.425,236530
MSN,20140903,54.0535,54.0535,53.425,53.425,261620
MSN,20140829,52.4822,53.425,52.4822,53.425,149840
MSN,20140828,52.4822,52.7965,52.1679,52.4822,81470
MSN,20140827,53.1107,53.425,52.1679,52.4822,235940
MSN,20140826,53.425,53.7393,52.7965,53.1107,234820
MSN,20140825,53.7393,54.0536,53.425,53.7393,432620
MSN,20140822,53.1107,54.0535,52.7964,53.7393,555690
MSN,20140821,52.1679,53.1107,52.1679,53.1107,334290
MSN,20140820,51.5394,52.7965,51.5394,52.1679,364730
MSN,20140819,52.4822,52.4822,51.2251,51.5394,553680
MSN,20140818,52.4822,53.425,51.8536,52.1679,283000
MSN,20140815,53.425,53.7392,52.1679,52.1679,482010
MSN,20140814,54.3678,54.3678,53.7393,54.0535,317820
MSN,20140813,54.0535,54.3678,53.425,53.7393,198470
MSN,20140812,54.3678,54.6821,53.1107,54.0535,522720
MSN,20140811,54.9963,55.6248,54.3677,54.3678,416620
MSN,20140808,54.9963,55.9391,54.682,55.6248,207960
MSN,20140807,55.3105,55.9391,54.9963,54.9963,245360
MSN,20140806,55.6249,56.8819,55.3106,55.6248,1210150
MSN,20140805,55.3106,55.9391,54.9963,55.3106,435700
MSN,20140804,54.9963,55.6248,54.9963,55.3106,88690
MSN,20140801,55.9391,55.9391,54.9963,55.6248,69140
MSN,20140731,55.3105,56.2533,55.3105,55.9391,198320
MSN,20140730,56.5677,57.1962,54.9963,55.6248,532220
MSN,20140729,56.2534,57.1962,55.9391,57.1962,80750
MSN,20140728,56.8819,56.8819,55.9391,56.2534,104340
MSN,20140725,57.8247,58.139,56.8819,56.8819,296770
MSN,20140724,57.5104,58.4532,57.5104,57.8247,147440
MSN,20140723,57.8247,57.8247,57.5104,57.5104,46210
MSN,20140722,58.139,58.139,57.1962,57.5104,137860
MSN,20140721,58.4532,58.4532,57.5104,57.8247,170140
MSN,20140718,58.139,58.4532,58.139,58.4532,239000
MSN,20140717,57.5104,58.4532,57.5104,57.8247,81430
MSN,20140716,57.8247,58.139,56.8819,57.8247,128360
MSN,20140715,57.5105,57.8247,57.1962,57.1962,170690
MSN,20140714,57.5104,57.8247,57.1961,57.1962,134220
MSN,20140711,58.139,58.139,57.1962,57.5104,175810
MSN,20140710,58.7675,58.7675,57.5104,58.139,206000
MSN,20140709,58.4532,59.0817,58.1389,58.7675,245550
MSN,20140708,58.4533,58.4533,57.8247,58.4532,119560
MSN,20140707,57.5104,58.1389,57.5104,58.139,83010
MSN,20140704,57.8247,58.4532,57.5104,57.5104,99490
MSN,20140703,58.139,58.139,57.5105,57.8247,46380
MSN,20140702,57.5104,58.1389,57.1961,58.139,127400
MSN,20140701,57.1962,57.8247,57.1962,57.5104,71000
MSN,20140630,57.8247,57.8247,56.8819,56.8819,26750
MSN,20140627,58.1389,58.1389,57.1961,57.5104,49150
MSN,20140626,57.8247,58.139,57.5104,57.5104,350120
MSN,20140625,58.139,58.139,57.1962,57.8247,257640
MSN,20140624,57.8247,58.139,57.8247,58.139,140290
MSN,20140623,56.5676,58.1389,56.5676,57.8247,145190
MSN,20140620,60.3388,60.3388,55.6248,55.6248,734130
MSN,20140619,59.7102,60.9673,58.4532,59.396,78850
MSN,20140618,60.9673,61.9101,60.0245,60.0245,77630
MSN,20140617,62.5387,62.5387,60.9674,60.9673,91030
MSN,20140616,61.9101,62.5386,61.9101,62.5387,152360
MSN,20140613,61.9101,62.5387,61.5959,61.9101,44600
MSN,20140612,61.5959,62.2244,60.9674,62.2244,85470
MSN,20140611,62.5386,62.5386,61.5958,61.5959,63000
MSN,20140610,60.653,62.2244,60.653,61.9101,75940
MSN,20140609,60.9673,61.5959,60.9673,60.9673,15720
MSN,20140606,61.9101,61.9101,60.653,61.2816,22360
MSN,20140605,61.9101,61.9101,60.9673,60.9673,76150
MSN,20140604,62.853,62.853,61.5959,62.2244,51080
MSN,20140603,61.5958,62.5386,61.5958,62.5387,184340
MSN,20140602,60.653,62.2244,60.653,61.9101,229020
MSN,20140530,61.5958,62.2244,61.2816,61.9101,755110
MSN,20140529,59.7103,61.2816,59.7103,60.9673,280950
MSN,20140528,58.4533,59.7103,58.139,59.7103,150680
MSN,20140527,56.5677,58.139,56.5677,58.139,89880
MSN,20140526,56.8819,57.1962,56.2534,57.1962,76030
MSN,20140523,56.5677,56.8819,56.2534,56.2534,55720
MSN,20140522,56.5676,57.1962,56.2534,56.2534,132040
MSN,20140521,58.139,58.139,56.8819,56.8819,137550
MSN,20140520,58.139,58.4533,57.5105,57.8247,41760
MSN,20140519,58.1389,58.1389,56.8819,58.139,88040
MSN,20140516,57.8247,57.8247,57.1961,57.5104,28060
MSN,20140515,57.1962,58.139,55.9391,57.5104,422850
MSN,20140514,55.3105,57.1961,55.3105,56.8819,145790
MSN,20140513,57.1962,57.1962,55.9391,56.5676,117030
MSN,20140512,54.682,57.1961,54.3677,57.1962,220620
MSN,20140509,53.4249,56.5676,53.4249,56.5676,367480
MSN,20140508,58.4532,59.0818,54.6821,54.682,222570
MSN,20140507,57.8247,59.396,57.8247,58.7675,135570
MSN,20140506,57.1962,57.8247,56.8819,57.5104,174370
MSN,20140505,59.396,60.3388,57.1962,57.1962,128110
MSN,20140429,58.4532,60.3388,58.4532,60.3388,27710
MSN,20140428,60.6531,60.9674,58.7675,58.7675,81830
MSN,20140425,60.0245,60.653,59.396,60.6531,320620
MSN,20140424,59.7103,60.0246,59.0818,60.0245,71400
MSN,20140423,57.8247,60.0246,57.8247,59.7103,132800
MSN,20140422,57.1961,58.1389,56.5676,58.139,95800
MSN,20140421,56.2534,57.8247,56.2534,56.5676,90030
MSN,20140418,60.0245,60.3388,56.2533,56.2534,40870
MSN,20140417,59.7103,60.6531,59.396,60.0245,93950
MSN,20140416,60.3388,60.6531,58.4532,59.396,238480
MSN,20140415,60.9673,61.5959,60.3388,60.6531,365880
MSN,20140414,62.2244,62.2244,60.3388,60.3388,103120
MSN,20140411,60.653,64.1099,59.7102,61.5959,496530
MSN,20140410,60.9673,61.2816,60.0245,60.9673,203600
MSN,20140408,59.396,60.9673,59.396,60.3388,173460
MSN,20140407,58.7675,59.396,58.7675,59.396,143610
MSN,20140404,59.0818,59.396,58.7675,58.7675,115290
MSN,20140403,59.0817,59.396,58.4532,58.7675,119190
MSN,20140402,59.396,60.3388,57.5104,58.4532,291400
MSN,20140401,60.9673,60.9673,59.0817,59.7103,177440
MSN,20140331,62.5387,62.5387,60.9674,60.9673,142520
MSN,20140328,60.9673,62.5386,60.653,62.5387,159820
MSN,20140327,61.2816,61.5959,60.3388,60.9673,240510
MSN,20140326,62.5387,62.853,61.2816,61.2816,316470
MSN,20140325,62.8529,64.7385,62.5386,62.5387,486700
MSN,20140324,64.11,64.7385,62.2244,62.8529,370320
MSN,20140321,65.3671,65.9956,64.7385,64.7385,5340000
MSN,20140320,67.8812,67.8812,65.9956,65.9956,374660
MSN,20140319,67.2527,68.5097,67.2527,67.8812,443130
MSN,20140318,70.3953,71.0238,67.8812,67.8812,1721630
MSN,20140317,67.8812,67.8812,67.8812,67.8812,1728150
MSN,20140314,62.5387,64.11,62.2244,63.4815,561580
MSN,20140313,61.9101,62.8529,61.9101,62.5387,409760
MSN,20140312,62.2244,63.4815,61.9101,62.2244,324300
MSN,20140311,61.5959,62.2244,61.2816,62.2244,114670
MSN,20140310,60.9673,62.2244,60.9673,61.5959,146510
MSN,20140307,61.5959,61.9102,60.9674,60.9673,75540
MSN,20140306,60.9673,61.9101,60.9673,61.5959,221980
MSN,20140305,61.5959,61.9102,60.6531,61.2816,133460
MSN,20140304,60.653,61.2816,59.0817,60.6531,304540
MSN,20140303,64.11,64.11,60.9674,60.9673,273600
MSN,20140228,61.2816,64.7385,61.2816,64.11,508920
MSN,20140227,62.2244,63.4814,61.5958,61.5959,324330
MSN,20140226,63.4814,63.4814,61.9101,62.8529,180060
MSN,20140225,60.6531,64.11,60.6531,62.8529,830970
MSN,20140224,59.0818,60.6531,59.0818,60.6531,282900
MSN,20140221,59.0817,60.3388,59.0817,59.7103,287340
MSN,20140220,59.0818,60.0246,58.4533,59.396,455000
MSN,20140219,58.139,59.0818,58.139,59.0818,328980
MSN,20140218,58.1389,58.4532,57.8247,58.139,192910
MSN,20140217,59.0818,59.0818,57.8247,58.4532,232920
MSN,20140214,58.7675,59.7103,58.7675,58.7675,74410
MSN,20140213,59.0818,59.7103,58.139,59.0818,280980
MSN,20140212,57.8247,58.4532,57.5104,58.139,156760
MSN,20140211,57.8247,59.0817,57.8247,57.8247,221170
MSN,20140210,56.8819,57.8247,56.8819,57.5104,89050
MSN,20140207,57.8247,58.4532,56.8819,56.8819,361760
