<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VNM,20151020,54.3593,55.8153,53.8739,54.3592,1153180
VNM,20151019,51.9325,54.3592,51.4471,53.8739,1296760
VNM,20151016,50.9618,52.4179,50.9618,51.4471,850360
VNM,20151015,51.4471,51.4471,50.4764,50.9618,416380
VNM,20151014,51.4471,52.9031,50.9618,51.4471,2049450
VNM,20151013,49.0204,49.5058,49.0204,49.5057,281090
VNM,20151012,49.0204,49.5058,48.535,49.0204,349150
VNM,20151009,49.0204,49.9911,49.0204,49.0204,319980
VNM,20151008,49.5057,49.9911,49.0204,49.0204,408300
VNM,20151007,49.5057,49.9911,49.0204,49.5057,400070
VNM,20151006,50.4765,50.9618,49.5057,49.9911,378660
VNM,20151005,49.0204,50.4764,48.535,49.9911,851310
VNM,20151002,48.535,49.0204,48.535,48.535,158180
VNM,20151001,48.535,49.0204,48.535,49.0204,201320
VNM,20150930,48.535,49.5057,48.535,48.535,129690
VNM,20150929,49.0204,49.0204,48.2923,48.535,259210
VNM,20150928,49.0204,49.9911,49.0204,49.5057,365490
VNM,20150925,48.535,49.0204,48.2923,49.0204,184590
VNM,20150924,49.0204,49.0204,48.535,48.535,262400
VNM,20150923,49.5057,50.4764,49.0204,49.0204,388170
VNM,20150922,48.0497,49.5058,48.0497,49.5057,666280
VNM,20150921,47.807,48.2924,47.5643,48.0497,214630
VNM,20150918,47.5643,48.0496,47.5643,47.807,224860
VNM,20150917,47.3216,47.5643,47.0789,47.3216,263860
VNM,20150916,47.3216,47.5643,47.0789,47.3216,163800
VNM,20150915,47.3216,47.8069,47.0789,47.3216,290770
VNM,20150914,47.5643,47.807,47.3216,47.3216,148920
VNM,20150911,48.2923,48.535,47.807,47.807,142810
VNM,20150910,47.5643,48.535,47.3216,48.2923,273840
VNM,20150909,47.5644,47.5644,47.079,47.3216,188690
VNM,20150908,46.8363,47.5644,46.8363,47.079,367250
VNM,20150907,47.5643,47.807,47.079,47.079,338230
VNM,20150904,48.0497,48.0497,47.5643,47.807,137720
VNM,20150903,48.2923,48.535,47.5643,48.0497,262480
